license_type,authors,year,title,journal,doi,url,,
closed,"Funabashi, M.",2019,Augmentation of Plant Genetic Diversity in Synecoculture: Theory and Practice in Temperate and Tropical Zones.,Genetic Diversity in Horticultural Plants,10.1007/978-3-319-96454-6_1,,,
open,"Hayden, B. et al.",2019,Biological and environmental drivers of trophic ecology in marine fishes - a global perspective.,Scientific Reports,10.1038/s41598-019-47618-2,,,
open,"Hutinet, G. et al.",2019,7-Deazaguanine modifications protect phage DNA from host restriction systems.,Nature Communications,10.1038/s41467-019-13384-y,,,
open,"Muñoz, G., Kissling, W.D.  van Loon, E.E.",2019,Biodiversity Observations Miner: A web application to unlock primary biodiversity data from published literature.,Biodiversity Data Journal,10.3897/bdj.7.e28737,,,
open,"Muñoz, G., Trøjelsgaard, K.  Kissling, W.D.",2019,A synthesis of animal-mediated seed dispersal of palms reveals distinct biogeographical differences in species interactions.,Journal of Biogeography,10.1111/jbi.13493,,,
open,"Olivier, P. et al.",2019,Exploring the temporal variability of a food web using long‐term biomonitoring data.,Ecography,10.1111/ecog.04461,,,
closed,"Padarian, J., Minasny, B.  McBratney, A.B.",2019,Online machine learning for collaborative biophysical modelling.,Environmental Modelling &amp;  Software,10.1016/j.envsoft.2019.104548,,,
closed,"Rapacciuolo, G.  Blois, J.L.",2019,"Understanding ecological change across large spatial, temporal, and taxonomic scales: integrating data and methods in light of theory.",Ecography,10.1111/ecog.04616</a>.,,,
open,"Sachs, J. et al.",2019,Training and hackathon on building biodiversity knowledge graphs.,Research Ideas and Outcomes,10.3897/rio.5.e36152,,,.
open,"Sharafeldeen, D., Algergawy, A.  König-Ries, B.",2019,Towards Knowledge Graph Construction using Semantic Data Mining.,Proceedings of the 21st International Conference on Information Integration and Web-based Applications &amp;  Services,10.1145/3366030.3366035,,,
open,"Stucky, B. et al.",2019,"Developing a vocabulary and ontology for modeling insect natural history data: example data, use cases, and competency questions.",Biodiversity Data Journal,10.3897/bdj.7.e33303,,,
open,"Urban, M. et al.",2019,PHI-base: the pathogen–host interactions database.,Nucleic Acids Research,10.1093/nar/gkz904,,,
open,"Barbier, M.  Loreau, M.",2019,"Pyramids and cascades: a synthesis of food chain functioning and stability D. H. Young, ed.",Ecology Letters,10.1111/ele.13196,,,
closed,"Delmas, E. et al.",2018,Analysing ecological networks of species interactions.,Biological Reviews,10.1111/brv.12433,,,
closed,"Bernasconi, R. et al.",2018,Global Networks of Symbiodinium-Bacteria Within the Coral Holobiont.,Microbial Ecology,10.1007/s00248-018-1255-4,,,
closed,"Compson, Z.G. et al.",2018,Linking DNA Metabarcoding and Text Mining to Create Network-Based Biomonitoring Tools: A Case Study on Boreal Wetland Macroinvertebrate Communities. ,Next Generation Biomonitoring: Part 2,10.1016/bs.aecr.2018.09.001,,,
closed,"Derocles, S.A.P. et al.",2018,Biomonitoring for the 21st Century: Integrating Next-Generation Sequencing Into Ecological Network Analysis.,Advances in Ecological Research,10.1016/bs.aecr.2017.12.001,,,
closed,"Gotts, N.M. et al.",2018,"Agent-based modelling of socio-ecological systems: Models, projects and ontologies.",Ecological Complexity,10.1016/j.ecocom.2018.07.007,,,
open,"Hutchinson, M.C. et al.",2018,Seeing the forest for the trees: putting multilayer networks to work for community ecology.,Functional Ecology,10.1111/1365-2435.13237,,,
open,"James, S.A. et al.",2018,Herbarium data: Global biodiversity and societal botanical needs for novel research.,Applications in Plant Sciences,10.1002/aps3.1024,,,
closed,"Jiang, C. et al.",2018,Dynamic Human Environmental Exposome Revealed by Longitudinal Personal Monitoring.,Cell,10.1016/j.cell.2018.08.060,,,
closed,"Kuhn, T. et al.",2018,Nanopublications: A Growing Resource of Provenance-Centric Scientific Linked Data.,2018 IEEE 14th International Conference on e-Science (e-Science),10.1109/escience.2018.00024,,,
closed,"Narango, D.L., Tallamy, D.W.  Marra, P.P.",2018,Nonnative plants reduce population growth of an insectivorous bird.,Proceedings of the National Academy of Sciences,10.1073/pnas.1809259115,,,
open,"Röttjers, L.  Faust, K.",2018,From hairballs to hypotheses – biological insights from microbial networks.,FEMS Microbiology Reviews,10.1093/femsre/fuy030,,,
open,"Thessen, A.E. et al.",2018,"20 GB in 10 minutes: a case for linking major biodiversity databases using an open socio-technical infrastructure and a pragmatic, cross-institutional collaboration.",PeerJ Computer Science,10.7717/peerj-cs.164,,,
open,"Beauchesne, D. et al.",2017,Thinking outside the box–predicting biotic interactions in data-poor environments.,Vie et milieu- Life and Environment,,http://wwwphp.obs-banyuls.fr/Viemilieu/index.php/volume-66-2016/66-issue-3-4/663-4-article-11.html,,
closed,"Coetzer, W., Moodley, D.  Gerber, A.",2017,A knowledge-based system for generating interaction networks from ecological data.,Data &amp;  Knowledge Engineering,10.1016/j.datak.2017.09.005,,,
open,"Desjardins-Proulx, P. et al.",2017,Ecological interactions and the Netflix problem.,PeerJ,10.7717/peerj.3644,,,
open,"Heitlinger, E. et al.",2017,The Intestinal Eukaryotic and Bacterial Biome of Spotted Hyenas: The Impact of Social Status and Age on Diversity and Composition.,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2017.00262,,,
closed,"McKinley, D.C. et al.",2017,"Citizen science can improve conservation science, natural resource management, and environmental protection.",Biological Conservation,10.1016/j.biocon.2016.05.015,,,
closed,"Nielsen, J.M. et al.",2017,Diet tracing in ecology: method comparison and selection.,Methods in Ecology and Evolution,10.1111/2041-210x.12869,,,
open,"Pauli, J.N. et al.",2017,Opinion: Why we need a centralized repository for isotopic data.,Proceedings of the National Academy of Sciences,10.1073/pnas.1701742114,,,
closed,"Parr, C.S.  Thessen, A.E.",2017,Biodiversity Informatics,Ecological Informatics,10.1007/978-3-319-59928-1_17,,,
closed,"Peterson, A.T.  Soberón, J.",2017,Essential biodiversity variables are not global. ,Biodiversity and Conservation,10.1007/s10531-017-1479-5,,,
closed,"Stec, K.F. et al.",2017,Modelling plankton ecosystems in the meta-omics era. Are we ready?,Marine Genomics,10.1016/j.margen.2017.02.006,,,
closed,"Parr, C.S.  Thessen, A.E.",2017,Biodiversity Informatics.,Ecological Informatics,10.1007/978-3-319-59928-1_17,,,
closed,"Adams, J. et al.",2016,A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean.,Ecological Informatics,10.1016/j.ecoinf.2016.04.010.,,,
closed,"Amano, T., Lamming, J.D.L. &amp; Sutherland, W.J.",2016,Spatial Gaps in Global Biodiversity Information and the Role of Citizen Science.,BioScience,10.1093/biosci/biw022,,,
closed,"Basset, A.",2016,e-Science perspectives for the conservation of transitional and coastal wetlands.,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/aqc.2683,,,
open,"Buttigieg, P.L. et al.",2016,"The environment ontology in 2016: bridging domains with increased scope, semantic density, and interoperation. ",Journal of Biomedical Semantics,10.1186/s13326-016-0097-6,,,
open,"Chandler, M. et al.",2016,Contribution of citizen science towards international biodiversity monitoring.,Biological Conservation,10.1016/j.biocon.2016.09.004,,,
closed,"Khabibullin, V.F.",2016,Location and foraging as basis for classification of biotic interactions.,Theory in Biosciences,10.1007/s12064-016-0228-8,,,
open,"La Salle, J., Williams, K.J. &amp; Moritz, C.",2016,Biodiversity analysis in the digital era.,Philosophical Transactions of the Royal Society B: Biological Sciences,10.1098/rstb.2015.0337,,,
open,"Parr, C.S. et al.",2016,TraitBank: Practical semantics for organism attribute data.,Semantic Web,10.3233/sw-150190,,,
open,"Proença, V. et al.",2016,Global biodiversity monitoring: From data sources to Essential Biodiversity Variables.,Biological Conservation,10.1016/j.biocon.2016.07.014,,,
closed,"Schigel, D.",2016,Beetles versus Fungi: Trophic Interactions in Boreal Forests.,Environmental and Microbial Relationships,10.1007/978-3-319-29532-9_14,,,
open,"Costello, M.J. et al.",2015,Biological and ecological traits of marine species.,PeerJ,10.7717/peerj.1201,,,
open,"Foulger, R.E. et al.",2015,Representing virus-host interactions and other multi-organism processes in the Gene Ontology.,BMC Microbiology,10.1186/s12866-015-0481-x,,,
open,"Gray, C. et al.",2015,Joining the dots: An automated method for constructing food webs from compendia of published interactions.,Food Webs,10.1016/j.fooweb.2015.09.001,,,
closed,"Hortal, J. et al.",2015,Seven Shortfalls that Beset Large-Scale Knowledge of Biodiversity.,"Annual Review of Ecology, Evolution, and Systematics",10.1146/annurev-ecolsys-112414-054400,,,
open,"Kissling, W.D. et al.",2015,Towards global interoperability for supporting biodiversity research on essential biodiversity variables (EBVs).,Biodiversity,10.1080/14888386.2015.1068709,,,
open,"Poisot, T. et al.",2015,mangal - making ecological network analysis simple.,Ecography,10.1111/ecog.00976,,,
open,"Poisot, T. et al.",2015,Synthetic datasets and community tools for the rapid testing of ecological hypotheses.,Ecography,10.1111/ecog.01941,,,
open,"Soranno, P.A. et al.",2015,Building a multi-scaled geospatial temporal ecology database from disparate data sources: fostering open science and data reuse.,GigaSci,10.1186/s13742-015-0067-4,,,
open,"Szoboszlai, A.I. et al.",2015,Forage species in predator diets: Synthesis of data from the California Current.,Ecological Informatics,10.1016/j.ecoinf.2015.07.003,,,
closed,"Thessen, A.E. et al.",2015,Data Infrastructures for Estuarine and Coastal Ecological Syntheses.,Estuaries and Coasts,10.1007/s12237-015-0045-1,,,
open,"Thessen, A.E. et al.",2015,Emerging semantics to link phenotype and environment.,PeerJ,10.7717/peerj.1470,,,
closed,"Vanden Berghe, E. et al.",2015,Retrieving taxa names from large biodiversity data collections using a flexible matching workflow.,Ecological Informatics,10.1016/j.ecoinf.2015.05.004,,,
